id,ticker,symbol
13070,HYZN,HYZN
13071,HYZNW,HYZNW
17103,HZN,HZN
17594,IAA,IAA
13073,IACVV,IACVV
17283,IAG,IAG
13081,IBCA,IBCA
16284,IBM,IBM
13092,IBTE,IBTE
13103,ICAD,ICAD
16291,ICD,ICD
16327,ICE,ICE
16709,ICL,ICL
13109,ICLK,ICLK
16724,IDA,IDA
16620,IDE,IDE
16228,IDT,IDT
17591,IEX,IEX
17922,IFF,IFF
17215,IGA,IGA
16168,IGD,IGD
16499,IGI,IGI
16430,IGR,IGR
16568,IGT,IGT
17405,IHG,IHG
17583,IIF,IIF
17373,IIM,IIM
13146,IIVI,IIVI
13148,IKNA,IKNA
13155,ILMNV,ILMNV
13158,IMACW,IMACW
16976,IMAX,IMAX
13174,IMPPV,IMPPV
13175,IMRA,IMRA
13180,IMTXW,IMTXW
13190,INBXV,INBXV
16874,ING,ING
16546,INGR,INGR
13203,INKA,INKA
13212,INPX,INPX
13213,INPXV,INPXV
17323,INSI,INSI
17198,INSP,INSP
16719,INT,INT
13222,INTM,INTM
13233,INXBV,INXBV
13234,INZY,INZY
13236,IOMT,IOMT
17639,IP,IP
16894,IPG,IPG
17030,IPHI,IPHI
17463,IPI,IPI
13261,IPXXU,IPXXU
13263,IQMDW,IQMDW
16771,IQV,IQV
17432,IR,IR
17666,IRM,IRM
17550,IRT,IRT
16428,ISD,ISD
13281,ISO,ISO
17005,IT,IT
16797,ITGR,ITGR
13293,ITI,ITI
16426,ITT,ITT
17333,ITW,ITW
17082,IVC,IVC
13304,IVCPU,IVCPU
16644,IVR,IVR
17746,IVZ,IVZ
16692,J,J
17921,JBL,JBL
16713,JBT,JBT
17043,JCI,JCI
13328,JCICU,JCICU
16699,JEF,JEF
17127,JHG,JHG
16767,JHI,JHI
16458,JHS,JHS
16835,JHX,JHX
17205,JILL,JILL
17612,JKS,JKS
17827,JLL,JLL
13348,JMACU,JMACU
13349,JMHI,JMHI
16940,JMM,JMM
16218,JNJ,JNJ
16315,JNPR,JNPR
16282,JOE,JOE
13352,JOET,JOET
16346,JOF,JOF
17348,JPS,JPS
17192,JPT,JPT
16988,JQC,JQC
16323,JRI,JRI
16444,JRO,JRO
17140,JRS,JRS
17701,JSD,JSD
17761,JT,JT
13366,JUGG,JUGG
13367,JUGGU,JUGGU
13368,JUGGW,JUGGW
13371,JVSA,JVSA
13372,JVSAR,JVSAR
13373,JVSAU,JVSAU
13374,JW,JW
16175,K,K
16373,KAI,KAI
17527,KAMN,KAMN
16534,KB,KB
16187,KBH,KBH
13387,KBNTW,KBNTW
16365,KBR,KBR
16552,KDMN,KDMN
13398,KDNY,KDNY
16959,KEM,KEM
17640,KEX,KEX
16179,KEY,KEY
17852,KEYS,KEYS
13409,KFRC,KFRC
16896,KFS,KFS
16356,KFY,KFY
17604,KGC,KGC
16550,KIM,KIM
13416,KIRK,KIRK
17715,KKR,KKR
17562,KL,KL
17386,KMF,KMF
17692,KMI,KMI
