ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,week_52_low,week_52_high,dividend_yield,avg_volume_3mon,dvav
ATRA,ATRA,ATRA,ATRA,NASDAQ,14.920000076293945,14.579999923706055,15.420000076293945,14.58 - 15.42,16605,16605,-2.131845271924172,2025-10-17 17:48:29.368760+00:00,2025-10-17 17:48:29.368761+00:00,,,,,
ATRC,ATRC,ATRC,ATRC,NASDAQ,37.310001373291016,36.900001525878906,37.689998626708984,36.90 - 37.69,83511,83511,0.18796909685612212,2025-10-17 17:48:29.369773+00:00,2025-10-17 17:48:29.369774+00:00,,,,,
ATRO,ATRO,ATRO,ATRO,NASDAQ,46.11000061035156,46.11000061035156,47.974998474121094,46.11 - 47.97,377646,377646,-3.736953775586543,2025-10-17 17:48:29.370878+00:00,2025-10-17 17:48:29.370879+00:00,,,,,
ATS,ATS,ATS,ATS,NASDAQ,25.985000610351562,25.899999618530273,26.479999542236328,25.90 - 26.48,28697,28697,-1.869331346079628,2025-10-17 17:48:29.371807+00:00,2025-10-17 17:48:29.371808+00:00,,,,,
ATUS,ATUS,ATUS,ATUS,NASDAQ,2.365000009536743,2.309999942779541,2.369999885559082,2.31 - 2.37,752897,752897,0.21186926538888448,2025-10-17 17:48:29.381359+00:00,2025-10-17 17:48:29.381361+00:00,,,,,
ATXG,ATXG,ATXG,ATXG,NASDAQ,1.0199999809265137,0.9437000155448914,1.0199999809265137,0.94 - 1.02,148260,148260,1.9999980926513672,2025-10-17 17:48:29.386159+00:00,2025-10-17 17:48:29.386160+00:00,,,,,
ATXS,ATXS,ATXS,ATXS,NASDAQ,11.979999542236328,11.829999923706055,12.038000106811523,11.83 - 12.04,1299503,1299503,-0.9098478822435468,2025-10-17 17:48:29.388861+00:00,2025-10-17 17:48:29.388863+00:00,,,,,
AUB,AUB,AUB,AUB,NASDAQ,33.720001220703125,32.97999954223633,33.779701232910156,32.98 - 33.78,458939,458939,2.4612621605791665,2025-10-17 17:48:29.389812+00:00,2025-10-17 17:48:29.389813+00:00,,,,,
AUDC,AUDC,AUDC,AUDC,NASDAQ,9.079999923706055,9.069999694824219,9.420499801635742,9.07 - 9.42,54590,54590,-2.4704670842551244,2025-10-17 17:48:29.400572+00:00,2025-10-17 17:48:29.400573+00:00,,,,,
AUGM,AUGM,AUGM,AUGM,NASDAQ,33.63999938964844,33.63999938964844,33.646400451660156,33.64 - 33.65,485,485,-0.011893999856909173,2025-10-17 17:48:29.401669+00:00,2025-10-17 17:48:29.401671+00:00,,,,,
AUGP,AUGP,AUGP,AUGP,NASDAQ,30.229999542236328,30.229999542236328,30.229999542236328,30.23 - 30.23,166,166,-0.04628997224241365,2025-10-17 17:48:29.406430+00:00,2025-10-17 17:48:29.406431+00:00,,,,,
AUGT,AUGT,AUGT,AUGT,NASDAQ,34.63589859008789,34.60940170288086,34.60940170288086,34.61 - 34.61,801,801,-0.0002973692731634143,2025-10-17 17:48:29.407552+00:00,2025-10-17 17:48:29.407555+00:00,,,,,
AUGZ,AUGZ,AUGZ,AUGZ,NASDAQ,42.689998626708984,42.689998626708984,42.689998626708984,42.69 - 42.69,126,126,0.07500979875858246,2025-10-17 17:48:29.408512+00:00,2025-10-17 17:48:29.408513+00:00,,,,,
AUID,AUID,AUID,AUID,NASDAQ,2.375,2.3299999237060547,2.5399999618530273,2.33 - 2.54,47534,47534,-4.233871704271749,2025-10-17 17:48:29.409345+00:00,2025-10-17 17:48:29.409346+00:00,,,,,
AUMI,AUMI,AUMI,AUMI,NASDAQ,83.08709716796875,81.77999877929688,87.7699966430664,81.78 - 87.77,36032,36032,-7.835635469461096,2025-10-17 17:48:29.410745+00:00,2025-10-17 17:48:29.410746+00:00,,,,,
